Cluster,Feature,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p100
Cluster_0,ratio_day_night,0.1438581653286902,0.5400764346402254,0.7036775941336222,0.7489745295749692,0.8248017722451766,0.8596830527612546,0.9047887749143595,0.949264139614654,1.0027251657685017,1.0984015784755743,2.4446061449425613
Cluster_0,ratio_weekday_weekend,0.3456542982929086,0.7721245896400267,0.862418297183311,0.9184162878693716,0.9604462723813174,0.9921149488599778,1.0147127830516673,1.0424176523905964,1.0950726117245289,1.1988828858912672,2.502457503089854
Cluster_0,mean_consumption_winter,0.1476613872192956,0.22739369982781366,0.24720296270214448,0.252497381993555,0.25977541945066773,0.2648113840102352,0.2707545655241879,0.2755064607219818,0.2851435983813154,0.3169165909036481,0.4502059218452295
Cluster_0,mean_consumption_summer,0.0647657979367664,0.17836890056767493,0.1951061026134174,0.20870519898103568,0.2165513230431439,0.226737856330106,0.23355623684699758,0.23953353095769425,0.2492805759931706,0.26507803249570366,0.360973934567033
Cluster_0,base_load,0.0068087380300957,0.01234191176470582,0.016382421340629262,0.01964127906976742,0.02183546511627904,0.0234284370725034,0.026101915184678498,0.02998960328317368,0.033827838577291304,0.0461683481532147,0.0883376367989056
Cluster_1,ratio_day_night,0.5166144595720126,0.7721279091648529,0.8382326520124994,0.8912762936142186,0.9322514870931181,0.9701819832398922,1.0118152856900637,1.074963282342224,1.153869956116744,1.3081159075272992,3.858458948345268
Cluster_1,ratio_weekday_weekend,0.3753829708284511,0.7357516322425764,0.8535820927546639,0.8962068180997012,0.9310016001248297,0.9608370767573179,0.9889321866266,1.0251049688189562,1.065419091391267,1.1311452910230033,2.2480392316825237
Cluster_1,mean_consumption_winter,0.0973349227896315,0.20946361094488053,0.22660607081528694,0.2390765992067328,0.24623871392607066,0.2533639391549087,0.2572284627256542,0.2631092274296482,0.27183490077513195,0.2823910122068272,0.3249877579833675
Cluster_1,mean_consumption_summer,0.1530145940569698,0.20913929248135554,0.22296390946013908,0.23262220041882972,0.23948138399692223,0.2453322601160533,0.2523246389098055,0.25745362588066084,0.2672215934416723,0.28219161154467926,0.4606649312857832
Cluster_1,base_load,0.0076294459644322,0.0139209815321477,0.0164447845417236,0.020665783173734582,0.023925872093023243,0.0265995212038303,0.03120383036935702,0.035407028043775615,0.041606857045143615,0.05299493844049244,0.1067866792065663
Cluster_2,ratio_day_night,0.02326245094018087,0.24518690257062453,0.3353106757555275,0.395261281308767,0.42248460664673343,0.46545573725660383,0.5037924600354506,0.5537563914435407,0.5820297511831348,0.6595204264800957,0.9257421208697092
Cluster_2,ratio_weekday_weekend,0.27519772797314174,0.6050886918040985,0.7049811827380027,0.763373895061344,0.8089353411931397,0.8293376121573031,0.8635877579889577,0.9106726693215546,0.9942464090763917,1.1561684564812724,4.915451711686111
Cluster_2,mean_consumption_winter,0.2326290906611905,0.2911284297910895,0.3148455277431198,0.3248745652196964,0.3322481779021207,0.34067981859909346,0.3526075662456277,0.3732428156648788,0.38492933741103286,0.42389428004940677,0.6073082188287876
Cluster_2,mean_consumption_summer,0.0141274776460733,0.10482702974846624,0.12886114573471594,0.14351237735564415,0.1514632754452335,0.1594799872209059,0.16678031268709181,0.1784894474497891,0.18673161804528693,0.19215452666373117,0.2656928743660158
Cluster_2,base_load,0.016047794117647,0.0272574213406292,0.032796101231190124,0.03910118844049242,0.04359266415868666,0.04997618844049245,0.055334917920656555,0.06322316176470583,0.07077382010943906,0.082881506497948,0.2199106532147742
Cluster_3,ratio_day_night,0.07013436801528655,0.4482907860585255,0.6661500067268509,0.7906590931051259,0.8440937183348486,0.9585063204707832,1.1136329340575297,1.1478870183448062,1.1761428927544342,3.0733690740309916,15.046786093490534
Cluster_3,ratio_weekday_weekend,0.22143742367104352,0.38359551067065323,0.4949395261939037,0.5624983891327903,0.7703097707641637,0.906402988230462,0.917005553831629,1.02773092490042,1.0924549140088622,1.210450901581432,3.5756862353740635
Cluster_3,mean_consumption_winter,0.0451007106661111,0.14411974247023,0.2243409568825629,0.2286893673962702,0.2386792986310424,0.2421644025925421,0.2549843827722728,0.2607115331702759,0.2953176840493567,0.3393700462392521,0.8468121766216623
Cluster_3,mean_consumption_summer,0.0593906368350095,0.1575885537972234,0.196725877216037,0.2001938660633444,0.2226423567765219,0.244404142508565,0.2566695236430206,0.2635118847090063,0.2658526697439838,0.3863941421489658,0.6786207460573807
Cluster_3,base_load,0.0006153385772913,0.0056938269493844,0.0084864911080711,0.0126017441860465,0.0131444083447332,0.0233413132694938,0.0247829172366621,0.0331459473324213,0.0353041638166894,0.0510872948016415,0.1874273255813953
