,mean_power,25th_percentile,75th_percentile
0,16.774913356164383,13.331750000000001,19.696875000000002
1,16.347817808219176,12.70375,19.50025
2,16.356213356164385,13.025749999999999,19.572374999999997
3,16.29024897260274,12.718999999999998,19.496000000000002
4,16.528745205479453,12.830250000000001,19.716124999999998
5,18.2563154109589,14.233999999999998,21.674125
6,25.944538013698633,20.529625000000003,32.31037499999999
7,34.776334246575345,22.560875,47.743249999999996
8,43.46610410958904,23.480125,64.71312499999999
9,48.93296678082191,23.41675,76.217375
10,44.766825,23.56375,66.361125
11,47.7240308219178,22.792374999999996,71.263125
12,39.4458,22.167624999999997,55.877875
13,36.22774041095891,22.13225,49.168375000000005
14,40.68489452054794,21.499125,59.08612500000001
15,38.91903561643836,21.101,54.692375000000006
16,35.23997465753425,20.625625,47.126749999999994
17,32.676318835616435,20.976125,42.41462500000001
18,32.95993869863013,20.875875000000004,43.869249999999994
19,31.307151027397264,20.353750000000005,40.909
20,30.21360924657534,20.5,39.67850000000001
21,27.52412876712329,19.45425,34.730500000000006
22,22.689784589041096,17.854625000000002,26.620749999999994
23,18.32178184931507,14.426250000000001,21.6505
